fijoitsea00046	10.86.146.150
fijoitsea00051	10.86.146.155
fijoitsea00047	10.86.146.151
fijoitsea00048	10.86.146.152
fijoitsea00053	10.86.146.157
fijoitsea00054	10.86.146.158
fijoitsea00055	10.86.146.159
fijoitsea00052	10.86.146.156
fijoitsea00049	10.86.146.153
fijoitsea00050	10.86.146.154
fijoitsea00056	10.86.146.160
fijoitsea00057	10.86.146.161
fijoitsmsc00001	10.86.146.162
fijoinrt00008	10.86.150.8
fijoinrt00002	10.86.150.7
fijoius00040	10.86.148.39
fijoitssr00099	10.86.146.143
fijoitssr00099	10.86.146.143
fijoitssr00099	10.86.146.143
fijoitssr00099	10.86.146.143
fijoitssr00099	10.86.146.143
fijoitssr00101	10.86.146.145
fijoitssr00100	10.86.146.144
fijoitsea00059	10.86.146.148
fijoitsea00060	10.86.146.146
fijoitsea00061	10.86.146.147
fijoitsea00062	10.86.146.149
fijoius00041	10.86.148.40
fijoius00042	10.86.148.41
fijoiwapp00015	10.86.144.219
fijoitmlsp400003	10.86.150.16
fijoitmlsp400004	10.86.150.17
fijoitmlsp400005	10.86.150.18
fijoitmlsp400006	10.86.150.19
fijoius00048	10.86.148.48
fijoius00049	10.86.148.49
fijoiwapp00018	10.86.144.224
fijoinrt00007	10.86.150.7
fijoitsea00092 	10.86.146.186
fijoitsea00094 	10.86.146.180
fijoitsea00088	10.86.146.185
fijoitsea00064	10.86.146.178
fijoitsea00065	10.86.146.179
fijoitsea00075	10.86.146.182
fijoitsea00085	10.86.146.184
fijoitsea00091	10.86.146.208
fijoitsea00090	10.86.146.204
fijoitsea00089	10.86.146.203
fijoitsea00067	10.86.146.193
fijoitsea00068	10.86.146.194
fijoitsea00066	10.86.146.192
fijoitsea00087	10.86.146.202
fijoitsea00086	10.86.146.201
fijoitsea00082	10.86.146.183
fijoitsea00077	10.86.146.206
fijoitsea00078	10.86.146.207
fijoitsea00079	10.86.146.205
fijoitsea00084	10.86.146.200
fijoitsea00076	10.86.146.196
fijoitsea00058	10.86.146.177
fijoitsea00093 	10.86.146.187
fijoitsea00096 	10.86.146.181
fijoitsea00073	10.86.146.189
fijoitsea00097	10.86.146.190
fijoitsea00063	10.86.146.191
fijoitsea00083	10.86.146.199
fijoitssr00128	10.86.146.230
fijoitssr00129	10.86.146.231
fijoitssr00130	10.86.146.232
fijoitssr00131	10.86.146.233
fijoitssr00132	10.86.146.234
fijoitssr00133	10.86.146.235
fijoius00065	10.86.148.67
fijoius00066	10.86.148.68
fijoius00058	10.86.148.60
fijoitsea00109	10.86.147.7
fijoitsea00107	10.86.147.10
fijoitsea00108	10.86.147.11
fijoitsea00106	10.86.147.6
fijoitssr00134	10.86.146.236
fijoitsea00110	10.86.147.8
fijoitsea00105	10.86.147.9
fijoius00072	10.86.148.74
fijoius00057	10.86.148.59
fijoiuas00002	10.86.148.56
fijoiuas00003	10.86.148.57
fijoius00069	10.86.148.71
fijoius00067	10.86.148.69
fijoitmlsp300004	10.86.150.13
fijoius00063	10.86.148.65
fijoius00068	10.86.148.70
fijoius00064	10.86.148.66
fijoius00070	10.86.148.72
fijoinsw00005	10.86.150.28
fijoinrt00009	10.86.150.32
fijointrt00001	10.86.150.34
fijoinldsw00001	10.86.150.38
fijoinsw00006	10.86.150.29
fijoitssr00136	10.86.146.238
fijoinrt00010	10.86.150.33
fijoinblsw00001	10.86.150.31
fijoinsw00007	10.86.150.30
fijoitsw00002	10.86.150.40
fijoitsw00001	10.86.150.39
fijoitspr00001	10.86.150.22
fijoitspr00002	10.86.150.23
fijoitspr00003	10.86.150.24
fijoitssr00137	10.86.146.239
fijoitssr00135	10.86.146.237
fijoius00076	10.86.148.78
fijoitssr00192	10.86.147.62
fijoitssr00172	10.86.147.42
fijoitssr00179	10.86.147.49
fijoitssr00180	10.86.147.50
fijoitssr00173	10.86.147.43
fijoitssr00174	10.86.147.44
fijoitssr00175	10.86.147.45
fijoitssr00181	10.86.147.51
fijoitssr00182	10.86.147.52
fijoitssr00183	10.86.147.53
fijoitssr00184	10.86.147.54
fijoitssr00185	10.86.147.55
fijoitssr00186	10.86.147.56
fijoitssr00187	10.86.147.57
fijoitssr00188	10.86.147.58
fijoitssr00189	10.86.147.59
fijoitssr00190	10.86.147.60
fijoius00110	10.86.148.117
fijoius00143	10.86.148.150
fijoius00111	10.86.148.118
fijoius00137	10.86.148.144
fijoius00138	10.86.148.145
fijoius00139	10.86.148.146
fijoius00141	10.86.148.148
fijoius00142	10.86.148.149
fijoitssr00191	10.86.147.61
fijoitssr00176	10.86.147.46
fijoitssr00177	10.86.147.47
fijoius00144	10.86.148.115
fijoiatr00002	10.86.148.116
fijoiutsrv00001	10.86.148.151
fijoinsw00015	10.86.150.58
fijoinsw00013	10.86.150.45
fijoinsw00012	10.86.150.44
fijoinsw00010	10.86.150.42
fijoinsw00009	10.86.150.41
fijoitsea00125	10.86.147.67
fijoitsea00126	10.86.147.68
fijoitsea00124	10.86.147.66
fijoitsea00123	10.86.147.64
fijoitsea00095	10.86.146.188
fijoitssr00168	10.86.147.38
fijoitssr00169	10.86.147.39
fijoitssr00170	10.86.147.40
fijoitssr00178	10.86.147.48
fijoitssr00171	10.86.147.41
fijoitssr00171	10.86.147.41
fijoitssr00193	10.86.147.63
fijoitsea00095	10.86.146.188
